Image name,Contains figure,Asks for proof,Dependencies,LatexOutput,Reference,GUID,Type,Seq,PT,OriginalName
Engineering Chemistry VTU_1_problem.png,FALSE,FALSE,,,,7d4024ae-6ff9-4a8e-be4f-5bd0bb622b07,P,1,0,Engineering Chemistry VTU_1_problem.png
Engineering Chemistry VTU_1_solution.png,FALSE,FALSE,,,,cdb46ba1-8df3-47ff-83d8-f1a10c2517da,S,1,0,Engineering Chemistry VTU_1_solution.png
Engineering Chemistry VTU_2_problem.png,FALSE,FALSE,,,,48a748c2-c102-4f83-9e06-af7e765365b4,P,2,0,Engineering Chemistry VTU_2_problem.png
Engineering Chemistry VTU_2_solution.png,FALSE,FALSE,,,,853a1a01-0cbc-4eed-9538-07209a4250af,S,2,0,Engineering Chemistry VTU_2_solution.png
Engineering Chemistry VTU_3_problem.png,FALSE,FALSE,,,,9f02447f-56c2-43f6-b217-8ea152e43b57,P,3,0,Engineering Chemistry VTU_3_problem.png
Engineering Chemistry VTU_3_solution.png,FALSE,FALSE,,,,01551bfe-9fe1-49e5-96e2-c9f72173b146,S,3,0,Engineering Chemistry VTU_3_solution.png
Engineering Chemistry VTU_4_problem.png,FALSE,FALSE,,,,35a3257b-26c8-421e-b8eb-04020fad89ec,P,4,0,Engineering Chemistry VTU_4_problem.png
Engineering Chemistry VTU_4_solution.png,FALSE,FALSE,,,,0ea6cd8c-dec4-4636-9fd0-44beb94f764a,S,4,0,Engineering Chemistry VTU_4_solution.png
Engineering Chemistry VTU_5_problem.png,FALSE,FALSE,,,,4a86952c-f886-4360-bd85-823c6d13df60,P,5,0,Engineering Chemistry VTU_5_problem.png
Engineering Chemistry VTU_5_solution.png,FALSE,FALSE,,,,e54c5d40-44cf-4186-875a-e83097cd1935,S,5,0,Engineering Chemistry VTU_5_solution.png
Engineering Chemistry VTU_6_problem.png,FALSE,FALSE,,,,d3972262-4459-4f82-a333-da74cd117e9d,P,6,0,Engineering Chemistry VTU_6_problem.png
Engineering Chemistry VTU_6_solution.png,FALSE,FALSE,,,,a998ebf0-c137-4943-823a-3862cde3f661,S,6,0,Engineering Chemistry VTU_6_solution.png
Engineering Chemistry VTU_7_problem.png,FALSE,FALSE,,,,691e1608-e50b-42f2-96d5-01d757af648d,P,7,0,Engineering Chemistry VTU_7_problem.png
Engineering Chemistry VTU_7_solution_part_1.png,FALSE,FALSE,,,,cf50b8c6-958a-4e26-9823-896f1f12de19,S,7,1,Engineering Chemistry VTU_7_solution_part_1.png
Engineering Chemistry VTU_7_solution_part_2.png,FALSE,FALSE,,,,8c158ac8-5b87-4790-bb3d-52f9a2ce6bb3,S,7,2,Engineering Chemistry VTU_7_solution_part_2.png
