Image name,Contains figure,Asks for proof,Dependencies,LatexOutput,Reference,GUID,Type,Seq,PT,OriginalName
Integral Manifolds And Inertial Manifolds_1_problem_part_1.png,FALSE,TRUE,,,,e5f0e024-65c5-47ef-a88d-0d240c2f3a00,P,1,1,Integral Manifolds And Inertial Manifolds_1_problem_part_1.png
Integral Manifolds And Inertial Manifolds_1_problem_part_2.png,FALSE,TRUE,,,,cc907953-7dc2-4e8e-9618-73bec84b62a9,P,1,2,Integral Manifolds And Inertial Manifolds_1_problem_part_2.png
Integral Manifolds And Inertial Manifolds_1_solution_part_1.png,FALSE,TRUE,,,,73df8559-d0f3-43c2-a745-19f5aa67d6e8,S,1,1,Integral Manifolds And Inertial Manifolds_1_solution_part_1.png
Integral Manifolds And Inertial Manifolds_1_solution_part_2.png,FALSE,TRUE,,,,0a46bb85-36bb-435b-b516-b9f49a6e43f5,S,1,2,Integral Manifolds And Inertial Manifolds_1_solution_part_2.png
Integral Manifolds And Inertial Manifolds_1_solution_part_3.png,FALSE,TRUE,,,,ba33e884-d7b1-47d0-957b-0fc751fccb0c,S,1,3,Integral Manifolds And Inertial Manifolds_1_solution_part_3.png
Integral Manifolds And Inertial Manifolds_1_solution_part_4.png,FALSE,TRUE,,,,2bf4ba27-93c5-48a5-baaf-536b17e18a02,S,1,4,Integral Manifolds And Inertial Manifolds_1_solution_part_4.png
Integral Manifolds And Inertial Manifolds_2_problem_part_1.png,FALSE,TRUE,,,,f0c14592-a169-47f8-aba2-4fbe64536c6a,P,2,1,Integral Manifolds And Inertial Manifolds_2_problem_part_1.png
Integral Manifolds And Inertial Manifolds_2_problem_part_2.png,FALSE,TRUE,,,,9a5b8542-add5-4883-9f1e-f79d4d54861a,P,2,2,Integral Manifolds And Inertial Manifolds_2_problem_part_2.png
Integral Manifolds And Inertial Manifolds_2_solution_part_1.png,FALSE,TRUE,,,,df2b9863-a745-4815-aae6-ec1203987fdc,S,2,1,Integral Manifolds And Inertial Manifolds_2_solution_part_1.png
Integral Manifolds And Inertial Manifolds_2_solution_part_2.png,FALSE,TRUE,,,,d27c82c3-f058-47d2-a42d-8bd185f60b74,S,2,2,Integral Manifolds And Inertial Manifolds_2_solution_part_2.png
