Image name,Contains figure,Asks for proof,Dependencies,LatexOutput,Reference,GUID,Type,Seq,PT,OriginalName
"Topology, Calculus and Approximation-Vilmos Komornik_1_problem.png",FALSE,TRUE,,,,0e9ca568-7f0a-4c90-b263-ead436b58bbd,P,1,0,"Topology, Calculus and Approximation-Vilmos Komornik_1_problem.png"
"Topology, Calculus and Approximation-Vilmos Komornik_1_solution_part_1.png",FALSE,TRUE,,,,0de611d6-b262-4351-815a-8472689379ea,S,1,1,"Topology, Calculus and Approximation-Vilmos Komornik_1_solution_part_1.png"
"Topology, Calculus and Approximation-Vilmos Komornik_1_solution_part_2.png",TRUE,TRUE,,,,5e3f5a80-bd67-4b6c-9767-d428343ec468,S,1,2,"Topology, Calculus and Approximation-Vilmos Komornik_1_solution_part_2.png"
"Topology, Calculus and Approximation-Vilmos Komornik_2_problem.png",FALSE,TRUE,,,,4c8e8022-766d-4a4e-b7c1-9b9265c07c6c,P,2,0,"Topology, Calculus and Approximation-Vilmos Komornik_2_problem.png"
"Topology, Calculus and Approximation-Vilmos Komornik_2_solution.png",FALSE,TRUE,,,,ef377fc6-8641-4b62-8be9-75e39dd8eac5,S,2,0,"Topology, Calculus and Approximation-Vilmos Komornik_2_solution.png"
"Topology, Calculus and Approximation-Vilmos Komornik_3_problem.png",FALSE,TRUE,,,,dd84f91c-4421-4ee5-a39a-436d30c85442,P,3,0,"Topology, Calculus and Approximation-Vilmos Komornik_3_problem.png"
"Topology, Calculus and Approximation-Vilmos Komornik_3_solution_part_1.png",FALSE,TRUE,,,,538862b2-c064-4dd8-974a-82bf7c1ff7e6,S,3,1,"Topology, Calculus and Approximation-Vilmos Komornik_3_solution_part_1.png"
"Topology, Calculus and Approximation-Vilmos Komornik_3_solution_part_2.png",TRUE,TRUE,,,,b66028a9-2471-4776-924c-834dcdbc5b3b,S,3,2,"Topology, Calculus and Approximation-Vilmos Komornik_3_solution_part_2.png"
"Topology, Calculus and Approximation-Vilmos Komornik_4_problem.png",FALSE,TRUE,,,,c66c7cfa-de9c-45d0-955a-cdda364a9cc6,P,4,0,"Topology, Calculus and Approximation-Vilmos Komornik_4_problem.png"
"Topology, Calculus and Approximation-Vilmos Komornik_4_solution.png",FALSE,TRUE,,,,3d71d1db-024d-4051-beb2-c5bf260a4db4,S,4,0,"Topology, Calculus and Approximation-Vilmos Komornik_4_solution.png"
"Topology, Calculus and Approximation-Vilmos Komornik_5_problem.png",FALSE,TRUE,,,,7c7d5ee8-6d8a-460d-9e82-9df336a7c73d,P,5,0,"Topology, Calculus and Approximation-Vilmos Komornik_5_problem.png"
