Image name,Contains figure,Asks for proof,Dependencies,LatexOutput,Reference,GUID,Type,Seq,PT,OriginalName
Visually OS X Mountain Lion_1_problem.png,FALSE,FALSE,,,,3255ca06-bd2c-4ece-b440-aa9fca5bd907,P,1,0,Visually OS X Mountain Lion_1_problem.png
Visually OS X Mountain Lion_1_solution_part_1.png,TRUE,FALSE,,,,6afae71d-ee87-45c5-b210-9cf50c4cd5b6,S,1,1,Visually OS X Mountain Lion_1_solution_part_1.png
Visually OS X Mountain Lion_1_solution_part_2.png,TRUE,FALSE,,,,f4946b60-f8be-4b4f-a677-7713db022f10,S,1,2,Visually OS X Mountain Lion_1_solution_part_2.png
Visually OS X Mountain Lion_1_solution_part_3.png,TRUE,FALSE,,,,82d20756-d8c4-4c98-894b-16ae60696870,S,1,3,Visually OS X Mountain Lion_1_solution_part_3.png
Visually OS X Mountain Lion_2_problem.png,FALSE,FALSE,,,,1c17588a-fb28-4aad-8751-2bfd1853836b,P,2,0,Visually OS X Mountain Lion_2_problem.png
Visually OS X Mountain Lion_2_solution.png,TRUE,FALSE,,,,1ce911d8-65db-420a-bdcb-52cf6ee2727e,S,2,0,Visually OS X Mountain Lion_2_solution.png
Visually OS X Mountain Lion_3_problem.png,FALSE,FALSE,,,,d89c1d7f-7e1c-458e-8f2d-77def8ec02fc,P,3,0,Visually OS X Mountain Lion_3_problem.png
Visually OS X Mountain Lion_3_solution.png,FALSE,FALSE,,,,09e8e6b2-ea62-45a0-a3cf-3f72bd643f40,S,3,0,Visually OS X Mountain Lion_3_solution.png
Visually OS X Mountain Lion_4_problem.png,FALSE,FALSE,,,,bc036dea-f031-4ef8-8fe6-627d777c5c87,P,4,0,Visually OS X Mountain Lion_4_problem.png
Visually OS X Mountain Lion_4_solution.png,TRUE,FALSE,,,,9c9c76b5-a515-4d5f-95f2-2220c2bdd012,S,4,0,Visually OS X Mountain Lion_4_solution.png
Visually OS X Mountain Lion_5_problem.png,FALSE,FALSE,,,,2470d630-e82c-43c7-80db-1da64f6f3124,P,5,0,Visually OS X Mountain Lion_5_problem.png
Visually OS X Mountain Lion_5_solution.png,TRUE,FALSE,,,,489043bb-20a8-43a8-8aa8-80bfee50f80e,S,5,0,Visually OS X Mountain Lion_5_solution.png
Visually OS X Mountain Lion_6_problem.png,FALSE,FALSE,,,,b3947937-4713-422f-a869-582715f90131,P,6,0,Visually OS X Mountain Lion_6_problem.png
Visually OS X Mountain Lion_6_solution.png,TRUE,FALSE,,,,3f9e49c8-9597-4225-80d8-d5bc24c59459,S,6,0,Visually OS X Mountain Lion_6_solution.png
Visually OS X Mountain Lion_7_problem.png,FALSE,FALSE,,,,bfc546a6-cfec-4a47-96ad-15cd9b66c6e2,P,7,0,Visually OS X Mountain Lion_7_problem.png
Visually OS X Mountain Lion_7_solution.png,FALSE,FALSE,,,,34b761af-d5a1-4b50-8c89-cec752872050,S,7,0,Visually OS X Mountain Lion_7_solution.png
Visually OS X Mountain Lion_8_problem.png,FALSE,FALSE,,,,123a4795-66ad-4b92-92d1-41dedcbe1284,P,8,0,Visually OS X Mountain Lion_8_problem.png
Visually OS X Mountain Lion_8_solution.png,TRUE,FALSE,,,,caf69d0c-7be2-43c4-8afc-d6ecac4ac61e,S,8,0,Visually OS X Mountain Lion_8_solution.png
Visually OS X Mountain Lion_9_problem.png,FALSE,FALSE,,,,e19c34c7-a4ec-4f01-9817-1a16b230e1a9,P,9,0,Visually OS X Mountain Lion_9_problem.png
Visually OS X Mountain Lion_9_solution.png,FALSE,FALSE,,,,4a9ac0bb-597f-4edd-9b38-1287b1b8acf6,S,9,0,Visually OS X Mountain Lion_9_solution.png
Visually OS X Mountain Lion_10_problem.png,FALSE,FALSE,,,,43565d61-2266-4ef1-8295-bf44938457d3,P,10,0,Visually OS X Mountain Lion_10_problem.png
Visually OS X Mountain Lion_10_solution.png,FALSE,FALSE,,,,bd4f6546-8e67-42ee-a7ad-8d3b89066019,S,10,0,Visually OS X Mountain Lion_10_solution.png
Visually OS X Mountain Lion_11_problem.png,FALSE,FALSE,,,,881dd4b1-63c4-440a-8c2f-92a12ef9b363,P,11,0,Visually OS X Mountain Lion_11_problem.png
Visually OS X Mountain Lion_11_solution.png,TRUE,FALSE,,,,6c02ce2a-434d-444f-9577-99a32e245848,S,11,0,Visually OS X Mountain Lion_11_solution.png
Visually OS X Mountain Lion_12_problem.png,FALSE,FALSE,,,,58ad5339-7fe0-4953-ba92-c1485a1f05e1,P,12,0,Visually OS X Mountain Lion_12_problem.png
Visually OS X Mountain Lion_12_solution.png,TRUE,FALSE,,,,00e04984-56b0-4b62-a46b-13754660300a,S,12,0,Visually OS X Mountain Lion_12_solution.png
Visually OS X Mountain Lion_13_problem.png,FALSE,FALSE,,,,4b394cf6-acec-4602-b6e5-c602306b8aa7,P,13,0,Visually OS X Mountain Lion_13_problem.png
Visually OS X Mountain Lion_13_solution.png,FALSE,FALSE,,,,d92722b7-4d76-4bf1-9288-936447cef0b2,S,13,0,Visually OS X Mountain Lion_13_solution.png
Visually OS X Mountain Lion_14_problem.png,FALSE,FALSE,,,,8604e128-0298-41a1-b6ae-5ba0e2a0377a,P,14,0,Visually OS X Mountain Lion_14_problem.png
Visually OS X Mountain Lion_14_solution.png,TRUE,FALSE,,,,2a297e13-8954-4d47-9c53-4d71a846a196,S,14,0,Visually OS X Mountain Lion_14_solution.png
Visually OS X Mountain Lion_15_problem.png,FALSE,FALSE,,,,ce8e2429-fee6-408a-adc7-ae50ece91175,P,15,0,Visually OS X Mountain Lion_15_problem.png
Visually OS X Mountain Lion_15_solution.png,TRUE,FALSE,,,,7a6805c3-2d27-4ff6-8e4a-34704af2ec3f,S,15,0,Visually OS X Mountain Lion_15_solution.png
Visually OS X Mountain Lion_16_problem.png,FALSE,FALSE,,,,8cf7ba2f-1b8d-42b3-a56d-9ca7156737fb,P,16,0,Visually OS X Mountain Lion_16_problem.png
Visually OS X Mountain Lion_16_solution.png,FALSE,FALSE,,,,697b0edc-de2d-4832-8110-8ec7e70b84be,S,16,0,Visually OS X Mountain Lion_16_solution.png
Visually OS X Mountain Lion_17_problem.png,FALSE,FALSE,,,,d5ef4d6e-2417-4b93-9b71-e3284b3f02aa,P,17,0,Visually OS X Mountain Lion_17_problem.png
Visually OS X Mountain Lion_17_solution.png,FALSE,FALSE,,,,7332e54a-36a7-4279-bcdd-39a586462a96,S,17,0,Visually OS X Mountain Lion_17_solution.png
Visually OS X Mountain Lion_18_problem.png,FALSE,FALSE,,,,ec1993a8-0818-4826-a4e5-794cccf7c05d,P,18,0,Visually OS X Mountain Lion_18_problem.png
Visually OS X Mountain Lion_18_solution.png,TRUE,FALSE,,,,d6af8fb8-1c5b-4a20-95ee-e74a39706aad,S,18,0,Visually OS X Mountain Lion_18_solution.png
Visually OS X Mountain Lion_19_problem.png,FALSE,FALSE,,,,d7bd54f5-6810-4e24-9c73-6169108f2a9e,P,19,0,Visually OS X Mountain Lion_19_problem.png
Visually OS X Mountain Lion_19_solution.png,FALSE,FALSE,,,,d1cf0dcf-3d9e-4496-879d-cdc3039c4f17,S,19,0,Visually OS X Mountain Lion_19_solution.png
Visually OS X Mountain Lion_20_problem.png,FALSE,FALSE,,,,883a47dc-e9c1-49a2-b660-33a6dd5f5395,P,20,0,Visually OS X Mountain Lion_20_problem.png
Visually OS X Mountain Lion_20_solution.png,TRUE,FALSE,,,,ca35c2c6-6af3-4a1c-a0dd-95e42e8177df,S,20,0,Visually OS X Mountain Lion_20_solution.png
Visually OS X Mountain Lion_21_problem.png,FALSE,FALSE,,,,9de6148c-63d9-49b3-bb5c-1651edb1d07f,P,21,0,Visually OS X Mountain Lion_21_problem.png
Visually OS X Mountain Lion_21_solution.png,FALSE,FALSE,,,,ce1aeee5-e5c3-43d2-9ccb-9791442d3ca7,S,21,0,Visually OS X Mountain Lion_21_solution.png
Visually OS X Mountain Lion_22_problem.png,FALSE,FALSE,,,,565a26b0-890f-49c6-9bba-bb6d4a79b3a9,P,22,0,Visually OS X Mountain Lion_22_problem.png
Visually OS X Mountain Lion_22_solution.png,FALSE,FALSE,,,,2237d428-8a68-4541-b372-44cf4fda68c2,S,22,0,Visually OS X Mountain Lion_22_solution.png
Visually OS X Mountain Lion_23_problem.png,FALSE,FALSE,,,,a0bedfe2-18fc-4649-9766-bff43fd634c9,P,23,0,Visually OS X Mountain Lion_23_problem.png
Visually OS X Mountain Lion_23_solution.png,TRUE,FALSE,,,,b9b2ec48-8531-4ca2-a5b5-61ffa5cf29bf,S,23,0,Visually OS X Mountain Lion_23_solution.png
Visually OS X Mountain Lion_24_problem.png,FALSE,FALSE,,,,7a2aef74-9884-4c85-a53c-5df45048fb35,P,24,0,Visually OS X Mountain Lion_24_problem.png
Visually OS X Mountain Lion_24_solution.png,TRUE,FALSE,,,,28539ded-d024-47ac-9f1c-b1f767a52792,S,24,0,Visually OS X Mountain Lion_24_solution.png
Visually OS X Mountain Lion_25_problem.png,FALSE,FALSE,,,,f36ce649-1839-4102-bee5-b6889f419507,P,25,0,Visually OS X Mountain Lion_25_problem.png
Visually OS X Mountain Lion_25_solution.png,FALSE,FALSE,,,,a407e7fc-03dd-409e-8410-5c19ca5f3e82,S,25,0,Visually OS X Mountain Lion_25_solution.png
Visually OS X Mountain Lion_26_problem.png,FALSE,FALSE,,,,b2a02c0b-2323-4a71-bf54-c1701bddb2ce,P,26,0,Visually OS X Mountain Lion_26_problem.png
Visually OS X Mountain Lion_26_solution.png,FALSE,FALSE,,,,5b9c6c5e-67e3-4419-8d34-e7152d639836,S,26,0,Visually OS X Mountain Lion_26_solution.png
Visually OS X Mountain Lion_27_problem.png,FALSE,FALSE,,,,d0688eb3-0c5b-472d-80f7-6eaa26e19581,P,27,0,Visually OS X Mountain Lion_27_problem.png
Visually OS X Mountain Lion_27_solution.png,TRUE,FALSE,,,,fef277f8-ceef-4627-9a4a-fb90fb0ed50a,S,27,0,Visually OS X Mountain Lion_27_solution.png
Visually OS X Mountain Lion_28_problem.png,FALSE,FALSE,,,,da8b5f32-298a-463c-90dc-f335b7c5c632,P,28,0,Visually OS X Mountain Lion_28_problem.png
Visually OS X Mountain Lion_28_solution.png,TRUE,FALSE,,,,b680da69-68bd-4474-944f-a1e5c8655e72,S,28,0,Visually OS X Mountain Lion_28_solution.png
Visually OS X Mountain Lion_29_problem.png,FALSE,FALSE,,,,55f616a2-316a-4eea-88a8-e3ceb160eee5,P,29,0,Visually OS X Mountain Lion_29_problem.png
Visually OS X Mountain Lion_29_solution.png,FALSE,FALSE,,,,c035ee05-dcc9-4104-929a-4f47ef34c2a5,S,29,0,Visually OS X Mountain Lion_29_solution.png
Visually OS X Mountain Lion_30_problem.png,FALSE,FALSE,,,,e0197a21-56b6-458a-b876-8f9f4f468a70,P,30,0,Visually OS X Mountain Lion_30_problem.png
Visually OS X Mountain Lion_30_solution.png,FALSE,FALSE,,,,973022d4-3104-4bdf-b3ea-3a915555b2a8,S,30,0,Visually OS X Mountain Lion_30_solution.png
Visually OS X Mountain Lion_31_problem.png,FALSE,FALSE,,,,4173f673-ad25-4995-99d9-7660bdd752d9,P,31,0,Visually OS X Mountain Lion_31_problem.png
Visually OS X Mountain Lion_31_solution.png,TRUE,FALSE,,,,9f2dc2e3-1de9-4613-8284-b86cd82db0d9,S,31,0,Visually OS X Mountain Lion_31_solution.png
Visually OS X Mountain Lion_32_problem.png,FALSE,FALSE,,,,f13ecff9-8297-4fb2-8e7f-bc1d6770021d,P,32,0,Visually OS X Mountain Lion_32_problem.png
Visually OS X Mountain Lion_32_solution.png,FALSE,FALSE,,,,1d41fd30-043a-4125-8ac6-51b06e30a284,S,32,0,Visually OS X Mountain Lion_32_solution.png
Visually OS X Mountain Lion_33_problem.png,FALSE,FALSE,,,,0190cf64-6ca5-4cb7-a8c3-5f4535312987,P,33,0,Visually OS X Mountain Lion_33_problem.png
Visually OS X Mountain Lion_33_solution.png,TRUE,FALSE,,,,b425b2ad-9151-4ca1-8c3c-8b3218096420,S,33,0,Visually OS X Mountain Lion_33_solution.png
Visually OS X Mountain Lion_34_problem.png,FALSE,FALSE,,,,cca75961-1043-4c7b-a6eb-a654e7e7e1d7,P,34,0,Visually OS X Mountain Lion_34_problem.png
Visually OS X Mountain Lion_34_solution.png,TRUE,FALSE,,,,bdb73d9b-db58-41a4-8b09-513f800b0a72,S,34,0,Visually OS X Mountain Lion_34_solution.png
Visually OS X Mountain Lion_35_problem.png,FALSE,FALSE,,,,dd50934e-10b9-47b0-9938-19c73132253f,P,35,0,Visually OS X Mountain Lion_35_problem.png
Visually OS X Mountain Lion_35_solution.png,FALSE,FALSE,,,,72f9e5cb-f668-4bd0-a80e-66a590bc649e,S,35,0,Visually OS X Mountain Lion_35_solution.png
Visually OS X Mountain Lion_36_problem.png,FALSE,FALSE,,,,7532f1fe-c2f5-4b3f-9252-994c70fe30e9,P,36,0,Visually OS X Mountain Lion_36_problem.png
Visually OS X Mountain Lion_36_solution.png,FALSE,FALSE,,,,3744282e-550e-4470-bc1a-97ab37f65f20,S,36,0,Visually OS X Mountain Lion_36_solution.png
Visually OS X Mountain Lion_37_problem.png,FALSE,FALSE,,,,a962d889-ca93-4b8f-a35c-1765c66d41ed,P,37,0,Visually OS X Mountain Lion_37_problem.png
Visually OS X Mountain Lion_37_solution.png,TRUE,FALSE,,,,775b1f21-9b30-4fb2-bafb-e3efa337133b,S,37,0,Visually OS X Mountain Lion_37_solution.png
Visually OS X Mountain Lion_38_problem.png,FALSE,FALSE,,,,9f33df2a-4b25-4b25-a1ff-8f9806afee04,P,38,0,Visually OS X Mountain Lion_38_problem.png
Visually OS X Mountain Lion_38_solution.png,TRUE,FALSE,,,,12176340-cc5e-403d-9ef3-519591af7aa4,S,38,0,Visually OS X Mountain Lion_38_solution.png
Visually OS X Mountain Lion_39_problem.png,FALSE,FALSE,,,,a82c9b09-5dfe-4851-9007-827c53c02810,P,39,0,Visually OS X Mountain Lion_39_problem.png
Visually OS X Mountain Lion_39_solution.png,FALSE,FALSE,,,,1a6e3555-9da0-47ef-9e25-d2a8f09db231,S,39,0,Visually OS X Mountain Lion_39_solution.png
Visually OS X Mountain Lion_40_problem.png,FALSE,FALSE,,,,c678af3c-f4dd-4a1a-8413-25569f1915aa,P,40,0,Visually OS X Mountain Lion_40_problem.png
Visually OS X Mountain Lion_40_solution.png,TRUE,FALSE,,,,f04c2592-1e48-4032-804a-599d78e61b9a,S,40,0,Visually OS X Mountain Lion_40_solution.png
Visually OS X Mountain Lion_41_problem.png,FALSE,FALSE,,,,b484eee7-b502-48c4-8524-90e6a3845328,P,41,0,Visually OS X Mountain Lion_41_problem.png
Visually OS X Mountain Lion_41_solution.png,TRUE,FALSE,,,,ebe1d6d5-69f7-40ad-b224-b3437db1c190,S,41,0,Visually OS X Mountain Lion_41_solution.png
Visually OS X Mountain Lion_42_problem.png,FALSE,FALSE,,,,48049221-902d-4b89-a8e0-b61264f4bf67,P,42,0,Visually OS X Mountain Lion_42_problem.png
Visually OS X Mountain Lion_42_solution.png,FALSE,FALSE,,,,fa11d123-01c1-40f5-97fe-da6a4018d861,S,42,0,Visually OS X Mountain Lion_42_solution.png
Visually OS X Mountain Lion_43_problem.png,FALSE,FALSE,,,,103f4f9e-44f5-44f0-8317-d6a3e1ed6e27,P,43,0,Visually OS X Mountain Lion_43_problem.png
Visually OS X Mountain Lion_43_solution.png,FALSE,FALSE,,,,45b8d1c1-3207-4c57-b7f3-0991ac5fafab,S,43,0,Visually OS X Mountain Lion_43_solution.png
